date,species,count
2014-05-01,CN,7
2014-05-02,CN,34
2014-05-07,CN,21
2014-05-08,CN,136
2014-05-13,CN,74
2014-05-14,CN,12
2014-05-16,CN,28
2014-05-20,CN,680
2014-05-22,CN,173
2014-05-25,CN,36
2014-05-26,CN,351
2014-05-27,CN,803
2014-05-28,CN,698
2014-06-05,CN,278
2014-06-12,CN,14
2014-06-16,CN,881
2014-06-17,CN,376
2014-07-14,CN,15
2014-07-15,CN,83
2014-07-16,CN,50
2014-08-02,CN,2
2014-08-03,CN,3
2014-08-11,CN,3
2014-08-12,CN,1
2014-08-13,CN,5
2014-08-14,CN,4
2014-08-15,CN,4
2014-08-18,CN,1
2014-08-19,CN,4
2014-08-20,CN,8
2014-08-21,CN,2
2014-08-22,CN,11
2014-08-27,CN,5
2014-08-28,CN,4
2014-08-29,CN,2
2014-09-05,CN,1
2014-09-08,CN,6
2014-09-09,CN,4
2014-09-10,CN,3
2014-09-11,CN,5
2014-09-12,CN,3
2014-09-13,CN,3
2014-09-16,CN,9
2014-09-17,CN,8
2014-09-22,CN,5
2014-09-23,CN,6
2014-09-26,CN,6
2014-09-30,CN,3
2014-10-02,CN,3
2014-10-03,CN,1
2015-05-11,CN,2
2015-05-12,CN,150
2015-05-13,CN,169
2015-05-14,CN,218
2015-05-19,CN,22
2015-05-20,CN,518
2015-05-21,CN,372
2015-05-22,CN,240
2015-05-26,CN,185
2015-05-27,CN,318
2015-05-28,CN,398
2015-05-30,CN,343
2015-05-31,CN,442
2015-06-02,CN,340
2015-06-03,CN,630
2015-06-05,CN,211
2015-06-09,CN,210
2015-06-10,CN,226
2015-06-15,CN,578
2015-06-16,CN,713
2015-06-17,CN,702
2015-06-23,CN,28
2015-07-06,CN,2
2015-07-09,CN,1
2015-07-11,CN,1
2015-07-17,CN,1
2015-07-18,CN,3
2015-07-19,CN,2
2015-07-22,CN,3
2015-07-25,CN,3
2015-07-26,CN,3
2015-07-27,CN,6
2015-07-28,CN,1
2015-07-29,CN,2
2015-08-02,CN,6
2015-08-04,CN,6
2015-08-05,CN,26
2015-08-06,CN,40
2015-08-08,CN,1
2015-08-09,CN,6
2015-08-10,CN,40
2015-08-11,CN,70
2015-08-12,CN,37
2015-08-13,CN,5
2015-08-17,CN,8
2015-08-18,CN,44
2015-08-19,CN,65
2015-08-20,CN,13
2015-08-21,CN,33
2015-08-22,CN,7
2015-08-24,CN,66
2015-08-25,CN,60
2015-08-26,CN,29
2015-08-27,CN,5
2015-08-30,CN,1
2015-08-31,CN,3
2015-09-01,CN,44
2015-09-02,CN,38
2015-09-03,CN,1
2015-09-09,CN,1
2015-09-10,CN,4
2015-09-11,CN,4
2015-09-12,CN,7
2015-09-14,CN,3
2015-09-16,CN,4
2015-09-17,CN,4
2015-09-19,CN,4
2015-09-22,CN,49
2015-09-23,CN,5
2015-09-24,CN,2
2015-09-25,CN,5
2015-09-29,CN,8
2015-09-30,CN,4
2015-10-01,CN,1
2015-10-07,CN,1
2015-10-08,CN,12
2015-10-11,CN,7
2015-10-13,CN,1
2015-10-15,CN,1
2015-10-20,CN,5
2015-10-23,CN,1
2016-04-26,CN,224
2016-05-02,CN,428
2016-05-03,CN,186
2016-05-04,CN,232
2016-05-05,CN,274
2016-05-06,CN,173
2016-05-09,CN,164
2016-05-13,CN,294
2016-05-16,CN,760
2016-05-17,CN,1254
2016-05-18,CN,773
2016-05-19,CN,449
2016-05-24,CN,170
2016-05-25,CN,661
2016-05-26,CN,463
2016-05-29,CN,974
2016-05-30,CN,456
2016-05-31,CN,251
2016-06-01,CN,1672
2016-06-02,CN,1293
2016-06-03,CN,245
2016-06-08,CN,172
2016-06-13,CN,1213
2016-06-14,CN,1258
2016-07-21,CN,16
2016-08-08,CN,16
2016-08-09,CN,12
2016-08-11,CN,11
2016-08-12,CN,21
2016-08-15,CN,45
2016-08-16,CN,15
2016-08-17,CN,70
2016-08-18,CN,12
2016-08-19,CN,54
2016-08-21,CN,264
2016-08-22,CN,154
2016-08-23,CN,61
2016-08-25,CN,17
2016-08-26,CN,88
2016-08-29,CN,48
2016-08-30,CN,81
2016-09-06,CN,15
2016-09-07,CN,9
2016-09-09,CN,14
2016-09-10,CN,29
2016-09-13,CN,163
2016-09-14,CN,119
2016-09-15,CN,26
2016-09-16,CN,20
2016-09-19,CN,21
2016-09-20,CN,89
2016-09-21,CN,62
2016-09-22,CN,21
2016-09-23,CN,19
2016-09-26,CN,21
2016-09-27,CN,9
2016-10-03,CN,12
2016-10-04,CN,29
2016-10-11,CN,41
2016-10-12,CN,27
2016-10-25,CN,2
2016-11-28,CN,3
2017-05-17,RB,1
2017-05-18,RB,2
2017-05-24,BT,3
2017-05-25,BT,1
2017-05-26,BT,1
2017-05-31,CTT,1
2017-05-31,RB,2
2017-06-19,CN,1060
2017-06-20,CN,753
2017-06-21,CN,1044
