date,watershed,site,species,count
2021-04-07,englishman,martindale rd,co,2
2021-04-07,englishman,martindale rd,rbt,1
2021-04-09,englishman,martindale rd,co,1
2021-04-09,englishman,martindale rd,rbt,1
2021-04-12,englishman,martindale rd,co,3
2021-04-14,englishman,martindale rd,co,7
2021-04-14,englishman,martindale rd,rbt,7
2021-04-15,englishman,martindale rd,co,20
2021-04-15,englishman,martindale rd,rbt,1
2021-04-16,englishman,martindale rd,co,25
2021-04-16,englishman,martindale rd,rbt,6
2021-04-18,englishman,martindale rd,co,53
2021-04-18,englishman,martindale rd,rbt,6
2021-04-20,englishman,center creek,co,28
2021-04-20,englishman,center creek,ct,3
2021-04-20,englishman,center creek,rbt,34
2021-04-20,englishman,martindale rd,co,90
2021-04-20,englishman,martindale rd,rbt,1
2021-04-22,englishman,martindale rd,co,44
2021-04-23,englishman,center creek,co,62
2021-04-23,englishman,center creek,ct,5
2021-04-23,englishman,center creek,rbt,21
2021-04-23,englishman,martindale rd,co,75
2021-04-23,englishman,martindale rd,ct,2
2021-04-24,campbell river,hatchery fence,stl,1
2021-04-25,campbell river,hatchery fence,stl,1
2021-04-26,black creek,sturgess bridge rd,co,265
2021-04-26,black creek,sturgess bridge rd,ct,2
2021-04-26,black creek,sturgess bridge rd,,2
2021-04-26,campbell river,hatchery fence,stl,2
2021-04-26,englishman,center creek,co,30
2021-04-26,englishman,center creek,rbt,13
2021-04-26,englishman,center creek,stl,9
2021-04-26,englishman,martindale rd,co,200
2021-04-26,englishman,martindale rd,rbt,2
2021-04-27,campbell river,hatchery fence,stl,2
2021-04-27,englishman,martindale rd,co,77
2021-04-28,campbell river,hatchery fence,stl,1
2021-04-28,englishman,center creek,co,118
2021-04-28,englishman,center creek,ct,1
2021-04-29,campbell river,hatchery fence,stl,4
2021-04-29,cowichan,70.2,bt,29
2021-04-29,cowichan,70.2,ck,2
2021-04-29,cowichan,70.2,co,59
2021-04-29,cowichan,70.2,rbt,8
2021-04-29,cowichan,mainstem fence,co,8
2021-04-29,englishman,martindale rd,co,67
2021-04-30,campbell river,hatchery fence,stl,8
2021-04-30,cowichan,70.2,bt,28
2021-04-30,cowichan,70.2,co,16
2021-04-30,cowichan,70.2,rbt,2
2021-04-30,cowichan,mainstem fence,co,6
2021-04-30,englishman,center creek,co,216
2021-04-30,englishman,center creek,ct,1
2021-04-30,englishman,center creek,rbt,5
2021-04-30,englishman,center creek,stl,1
2021-04-30,englishman,martindale rd,co,155
2021-04-30,englishman,martindale rd,rbt,2
2021-05-01,campbell river,hatchery fence,stl,11
2021-05-02,campbell river,hatchery fence,stl,12
2021-05-03,campbell river,hatchery fence,stl,4
2021-05-03,cowichan,70.2,bt,6
2021-05-03,cowichan,70.2,co,10
2021-05-03,cowichan,70.2,rbt,2
2021-05-03,cowichan,mainstem fence,ck,1
2021-05-03,cowichan,mainstem fence,co,26
2021-05-03,cowichan,skutz,rbt,1
2021-05-03,englishman,center creek,co,97
2021-05-03,englishman,center creek,ct,1
2021-05-03,englishman,center creek,rbt,1
2021-05-03,englishman,center creek,,1
2021-05-03,englishman,martindale rd,co,83
2021-05-04,campbell river,hatchery fence,stl,9
2021-05-05,campbell river,hatchery fence,stl,10
2021-05-05,cowichan,70.2,ck,1
2021-05-05,cowichan,70.2,co,36
2021-05-05,cowichan,70.2,rbt,2
2021-05-05,cowichan,mainstem fence,ck,5
2021-05-05,cowichan,mainstem fence,co,29
2021-05-05,cowichan,skutz,co,4
2021-05-05,englishman,center creek,co,120
2021-05-05,englishman,martindale rd,co,74
2021-05-05,englishman,martindale rd,rbt,2
2021-05-06,campbell river,hatchery fence,stl,13
2021-05-07,campbell river,hatchery fence,stl,14
2021-05-07,cowichan,70.2,co,13
2021-05-07,cowichan,70.2,rbt,1
2021-05-07,cowichan,mainstem fence,co,333
2021-05-07,cowichan,mainstem fence,ct,2
2021-05-07,cowichan,mainstem fence,rbt,3
2021-05-07,cowichan,mainstem fence,stl,50
2021-05-07,englishman,center creek,co,160
2021-05-07,englishman,martindale rd,co,24
2021-05-07,nanaimo,haslam creek,co,2
2021-05-07,nanaimo,haslam creek,rbt,5
2021-05-08,campbell river,hatchery fence,stl,24
2021-05-08,cowichan,mainstem fence,ck,288
2021-05-08,cowichan,mainstem fence,co,470
2021-05-08,cowichan,mainstem fence,stl,39
2021-05-09,campbell river,hatchery fence,stl,16
2021-05-09,cowichan,mainstem fence,ck,1
2021-05-10,campbell river,hatchery fence,stl,16
2021-05-10,cowichan,70.2,bt,1
2021-05-10,cowichan,70.2,co,33
2021-05-10,cowichan,70.2,rbt,1
2021-05-10,cowichan,mainstem fence,ck,249
2021-05-10,cowichan,mainstem fence,co,569
2021-05-10,cowichan,mainstem fence,ct,1
2021-05-10,cowichan,mainstem fence,rbt,3
2021-05-10,cowichan,mainstem fence,stl,36
2021-05-10,cowichan,mainstem fence,,2
2021-05-10,englishman,center creek,co,158
2021-05-10,englishman,center creek,ct,2
2021-05-10,englishman,center creek,rbt,5
2021-05-10,englishman,martindale rd,co,24
2021-05-10,englishman,martindale rd,ct,1
2021-05-11,black creek,sturgess bridge rd,co,288
2021-05-11,black creek,sturgess bridge rd,ct,1
2021-05-11,black creek,sturgess bridge rd,,1
2021-05-11,campbell river,hatchery fence,stl,18
2021-05-11,campbell river,hatchery fence,,4
2021-05-11,cowichan,mainstem fence,ck,307
2021-05-11,cowichan,mainstem fence,co,391
2021-05-11,cowichan,mainstem fence,stl,33
2021-05-12,campbell river,hatchery fence,stl,24
2021-05-12,cowichan,70.2,co,84
2021-05-12,cowichan,mainstem fence,ck,90
2021-05-12,cowichan,mainstem fence,co,163
2021-05-12,cowichan,mainstem fence,ct,3
2021-05-12,cowichan,mainstem fence,rbt,1
2021-05-12,cowichan,mainstem fence,stl,28
2021-05-12,englishman,center creek,co,217
2021-05-12,englishman,center creek,rbt,2
2021-05-12,englishman,center creek,stl,3
