date,count,70.2,cow bay,mainstem fence,skutz,vimy pool,ck,co
2014-05-01,7,,,,,,True,False
2014-05-02,34,,,,,,True,False
2014-05-07,21,,,,,,True,False
2014-05-08,136,,,,,,True,False
2014-05-13,74,,,,,,True,False
2014-05-14,12,,,,,,True,False
2014-05-16,28,,,,,,True,False
2014-05-20,680,,,,,,True,False
2014-05-22,173,,,,,,True,False
2014-05-25,36,,,,,,True,False
2014-05-26,351,,,,,,True,False
2014-05-27,803,,,,,,True,False
2014-05-28,698,,,,,,True,False
2014-06-05,278,,,,,,True,False
2014-06-12,14,,,,,,True,False
2014-06-16,881,,,,,,True,False
2014-06-17,376,,,,,,True,False
2014-07-14,15,,,,,,True,False
2014-07-15,83,,,,,,True,False
2014-07-16,50,,,,,,True,False
2014-08-02,2,,,,,,True,False
2014-08-03,3,,,,,,True,False
2014-08-11,3,,,,,,True,False
2014-08-12,1,,,,,,True,False
2014-08-13,5,,,,,,True,False
2014-08-14,4,,,,,,True,False
2014-08-15,4,,,,,,True,False
2014-08-18,1,,,,,,True,False
2014-08-19,4,,,,,,True,False
2014-08-20,8,,,,,,True,False
2014-08-21,2,,,,,,True,False
2014-08-22,11,,,,,,True,False
2014-08-27,5,,,,,,True,False
2014-08-28,4,,,,,,True,False
2014-08-29,2,,,,,,True,False
2014-09-05,1,,,,,,True,False
2014-09-08,6,,,,,,True,False
2014-09-09,4,,,,,,True,False
2014-09-10,3,,,,,,True,False
2014-09-11,5,,,,,,True,False
2014-09-12,3,,,,,,True,False
2014-09-13,3,,,,,,True,False
2014-09-16,9,,,,,,True,False
2014-09-17,8,,,,,,True,False
2014-09-22,5,,,,,,True,False
2014-09-23,6,,,,,,True,False
2014-09-26,6,,,,,,True,False
2014-09-30,3,,,,,,True,False
2014-10-02,3,,,,,,True,False
2014-10-03,1,,,,,,True,False
2015-05-11,2,,,,,,True,False
2015-05-12,150,,,,,,True,False
2015-05-13,169,,,,,,True,False
2015-05-14,218,,,,,,True,False
2015-05-19,22,,,,,,True,False
2015-05-20,518,,,,,,True,False
2015-05-21,372,,,,,,True,False
2015-05-22,240,,,,,,True,False
2015-05-26,185,,,,,,True,False
2015-05-27,318,,,,,,True,False
2015-05-28,398,,,,,,True,False
2015-05-30,343,,,,,,True,False
